position,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11
0.000000,86,0,0,16,0,0,29,0,0,4,0,0,38,0,0,15,0,0,30,0,0,34,0,0,26,0,0,22,0,0,16,0,0
0.001551,89,0,0,16,0,0,30,0,0,5,0,0,42,0,0,12,0,0,29,0,0,34,0,0,25,0,0,21,0,0,16,0,0
0.003733,100,0,0,19,0,0,31,0,0,1,0,0,38,0,0,13,0,0,28,0,0,34,0,0,25,0,0,23,0,0,15,0,0
0.006637,116,0,0,18,0,0,27,0,0,3,0,0,39,0,0,15,0,0,30,0,0,32,0,0,27,0,0,24,0,0,17,0,0
0.010316,141,0,0,17,0,0,28,0,0,2,0,0,44,0,0,13,0,0,32,0,0,32,0,0,24,0,0,22,0,0,17,0,0
0.014752,175,0,0,19,0,0,27,0,0,3,0,0,43,0,0,16,0,0,29,0,0,31,0,0,27,0,0,22,0,0,15,0,0
0.019297,233,0,0,19,0,0,28,0,0,2,0,0,41,0,0,15,0,0,28,0,0,31,0,0,25,0,0,19,0,0,15,0,0
0.023788,331,0,0,19,0,0,27,0,0,3,0,0,38,0,0,18,0,0,33,0,0,33,0,0,28,0,0,20,0,0,20,0,0
0.029306,497,0,0,23,0,0,26,0,0,2,0,0,40,0,0,12,0,0,29,0,0,32,0,0,27,0,0,19,0,0,16,0,0
0.035258,811,0,0,22,0,0,28,0,0,3,0,0,42,0,0,15,0,0,31,0,0,33,0,0,27,0,0,21,0,0,18,0,0
0.041750,1464,0,0,23,0,0,29,0,0,2,0,0,42,0,0,13,0,0,30,0,0,34,0,0,29,0,0,24,0,0,16,0,0
0.048224,2657,0,0,26,0,0,30,0,0,4,0,0,44,0,0,20,0,0,24,0,0,33,0,0,24,0,0,23,0,0,13,0,0
0.054681,4066,0,0,30,0,0,28,0,0,5,0,0,42,0,0,17,0,0,31,0,0,30,0,0,28,0,0,21,0,0,18,0,0
0.061137,3348,0,0,34,0,0,31,0,0,3,0,0,43,0,0,15,0,0,29,0,0,31,0,0,27,0,0,21,0,0,17,0,0
0.067594,-943,0,0,38,0,0,31,0,0,6,0,0,42,0,0,16,0,0,29,0,0,30,0,0,26,0,0,20,0,0,17,0,0
0.074050,-3941,0,0,42,0,0,31,0,0,4,0,0,40,0,0,16,0,0,32,0,0,31,0,0,26,0,0,21,0,0,17,0,0
0.086818,-1875,0,0,66,0,0,29,0,0,4,0,0,41,0,0,15,0,0,29,0,0,37,0,0,29,0,0,20,0,0,18,0,0
0.093239,-983,0,0,87,0,0,32,0,0,3,0,0,42,0,0,15,0,0,29,0,0,30,0,0,26,0,0,21,0,0,19,0,0
0.099623,-518,0,0,118,0,0,30,0,0,6,0,0,42,0,0,17,0,0,29,0,0,33,0,0,26,0,0,21,0,0,17,0,0
0.105989,-150,0,0,256,0,0,35,0,0,5,0,0,39,0,0,13,0,0,31,0,0,33,0,0,28,0,0,21,0,0,17,0,0
0.112373,-87,0,0,409,0,0,31,0,0,3,0,0,40,0,0,12,0,0,28,0,0,30,0,0,29,0,0,19,0,0,17,0,0
0.118721,-42,0,0,688,0,0,33,0,0,5,0,0,42,0,0,17,0,0,27,0,0,35,0,0,28,0,0,21,0,0,15,0,0
0.125070,-17,0,0,1215,0,0,35,0,0,5,0,0,42,0,0,14,0,0,28,0,0,31,0,0,27,0,0,25,0,0,16,0,0
0.131418,-2,0,0,2160,0,0,38,0,0,3,0,0,42,0,0,13,0,0,29,0,0,35,0,0,25,0,0,20,0,0,16,0,0
0.137730,6,0,0,3490,0,0,41,0,0,4,0,0,42,0,0,16,0,0,30,0,0,32,0,0,27,0,0,20,0,0,17,0,0
0.144042,15,0,0,3737,0,0,45,0,0,4,0,0,38,0,0,13,0,0,30,0,0,34,0,0,28,0,0,21,0,0,20,0,0
0.150318,19,0,0,531,0,0,48,0,0,8,0,0,41,0,0,16,0,0,29,0,0,30,0,0,27,0,0,21,0,0,17,0,0
0.156594,23,0,0,-3378,0,0,52,0,0,6,0,0,38,0,0,15,0,0,29,0,0,32,0,0,23,0,0,22,0,0,17,0,0
0.162834,22,0,0,-3875,0,0,59,0,0,7,0,0,42,0,0,14,0,0,31,0,0,35,0,0,24,0,0,20,0,0,16,0,0
0.169074,24,0,0,-2488,0,0,71,0,0,6,0,0,40,0,0,18,0,0,32,0,0,31,0,0,27,0,0,22,0,0,16,0,0
0.175314,28,0,0,-1320,0,0,84,0,0,5,0,0,42,0,0,18,0,0,34,0,0,34,0,0,27,0,0,23,0,0,16,0,0
0.181518,26,0,0,-711,0,0,107,0,0,6,0,0,41,0,0,15,0,0,26,0,0,31,0,0,24,0,0,20,0,0,18,0,0
0.187722,26,0,0,-394,0,0,142,0,0,5,0,0,41,0,0,16,0,0,29,0,0,34,0,0,26,0,0,20,0,0,16,0,0
0.193926,31,0,0,-230,0,0,208,0,0,7,0,0,40,0,0,18,0,0,27,0,0,31,0,0,27,0,0,22,0,0,16,0,0
0.200129,29,0,0,-141,0,0,307,0,0,6,0,0,42,0,0,15,0,0,31,0,0,33,0,0,28,0,0,21,0,0,19,0,0
0.206297,30,0,0,-89,0,0,484,0,0,10,0,0,38,0,0,19,0,0,31,0,0,33,0,0,29,0,0,24,0,0,14,0,0
0.212465,28,0,0,-63,0,0,806,0,0,11,0,0,42,0,0,15,0,0,29,0,0,33,0,0,28,0,0,22,0,0,18,0,0
