"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0.105682,-399.25,172,74.5,36.75,82.75,57.75,79.25,75.25,63.25,67,54
0.107107,-327,181,74,37,83,58,79,75,64,67,54
0.108487,-288.5,195.5,74.5,37.25,82.5,58,78.75,75,63.5,67.25,54
0.109867,-250,210,75,37.5,82,58,78.5,75,63,67.5,54
0.111246,-211.5,224.5,75.5,37.75,81.5,58,78.25,75,62.5,67.75,54
0.112626,-173,239,76,38,81,58,78,75,62,68,54
0.113925,-151.25,259.5,75.75,38,81.25,58.5,78.5,74.75,62.5,67.75,54
0.115223,-129.5,280,75.5,38,81.5,59,79,74.5,63,67.5,54
0.116522,-107.75,300.5,75.25,38,81.75,59.5,79.5,74.25,63.5,67.25,54
0.11782,-86,321,75,38,82,60,80,74,64,67,54
0.119199,-72.25,357.5,75.75,38.25,82.25,59,79.75,74.5,63.5,66.75,53.5
0.120579,-58.5,394,76.5,38.5,82.5,58,79.5,75,63,66.5,53
0.121958,-44.75,430.5,77.25,38.75,82.75,57,79.25,75.5,62.5,66.25,52.5
0.123338,-31,467,78,39,83,56,79,76,62,66,52
0.124718,-22.25,528.75,78.25,38.75,83.25,56.5,79.25,76,62.5,66.25,52
0.126098,-13.5,590.5,78.5,38.5,83.5,57,79.5,76,63,66.5,52
0.127477,-4.75,652.25,78.75,38.25,83.75,57.5,79.75,76,63.5,66.75,52
0.128857,4,714,79,38,84,58,80,76,64,67,52
0.130237,9.25,822.75,79.25,37.5,83.75,58.5,79.75,76,64,66.5,52
0.131616,14.5,931.5,79.5,37,83.5,59,79.5,76,64,66,52
0.132995,19.75,1040.25,79.75,36.5,83.25,59.5,79.25,76,64,65.5,52
0.134375,25,1149,80,36,83,60,79,76,64,65,52
0.135755,28.5,1337.5,80.75,36.75,83,59.75,78.75,76,63.75,65.5,52.25
0.137134,32,1526,81.5,37.5,83,59.5,78.5,76,63.5,66,52.5
0.138514,35.5,1714.5,82.25,38.25,83,59.25,78.25,76,63.25,66.5,52.75
0.139894,39,1903,83,39,83,59,78,76,63,67,53
0.141273,41.5,2200.75,83,39,82.5,58.5,78.25,75.5,63.5,66.75,53
0.142653,44,2498.5,83,39,82,58,78.5,75,64,66.5,53
0.144033,46.5,2796.25,83,39,81.5,57.5,78.75,74.5,64.5,66.25,53
0.145413,49,3094,83,39,81,57,79,74,65,66,53
0.146792,50.75,3389.75,83.75,38.25,81.5,57.25,79,74,64.5,66,53
0.148172,52.5,3685.5,84.5,37.5,82,57.5,79,74,64,66,53
0.149552,54.25,3981.25,85.25,36.75,82.5,57.75,79,74,63.5,66,53
0.150931,56,4277,86,36,83,58,79,74,63,66,53
0.152329,57,4087.25,87,37.25,83,58,79,74.5,63.25,66,53
0.153726,58,3897.5,88,38.5,83,58,79,75,63.5,66,53
0.155124,59,3707.75,89,39.75,83,58,79,75.5,63.75,66,53
0.156522,60,3518,90,41,83,58,79,76,64,66,53
0.157928,61,2536.5,90.75,40.75,82.25,58,79,76,63.75,65.75,53.25
0.159335,62,1555,91.5,40.5,81.5,58,79,76,63.5,65.5,53.5
0.160742,63,573.5,92.25,40.25,80.75,58,79,76,63.25,65.25,53.75
0.162149,64,-408,93,40,80,58,79,76,63,65,54
0.163583,64.75,-1326,93.75,39.75,80.75,58.25,78.75,75.5,63.25,65.75,53.5
0.165017,65.5,-2244,94.5,39.5,81.5,58.5,78.5,75,63.5,66.5,53
0.166451,66.25,-3162,95.25,39.25,82.25,58.75,78.25,74.5,63.75,67.25,52.5
0.167884,67,-4080,96,39,83,59,78,74,64,68,52
0.169291,67.5,-4123.75,98,38.75,82.75,58.75,78.5,74,63.75,68,52.25
0.170697,68,-4167.5,100,38.5,82.5,58.5,79,74,63.5,68,52.5
0.172103,68.5,-4211.25,102,38.25,82.25,58.25,79.5,74,63.25,68,52.75
0.17351,69,-4255,104,38,82,58,80,74,63,68,53
0.174926,69,-3888.5,106,38.25,81.75,57.5,79.5,74.5,63,67.75,53.25
