"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0,86,16,29,4,38,15,30,34,26,22,16
0.000194,86.375,16,29.125,4.125,38.5,14.625,29.875,34,25.875,21.875,16
0.000388,86.75,16,29.25,4.25,39,14.25,29.75,34,25.75,21.75,16
0.000582,87.125,16,29.375,4.375,39.5,13.875,29.625,34,25.625,21.625,16
0.000776,87.5,16,29.5,4.5,40,13.5,29.5,34,25.5,21.5,16
0.00097,87.875,16,29.625,4.625,40.5,13.125,29.375,34,25.375,21.375,16
0.001164,88.25,16,29.75,4.75,41,12.75,29.25,34,25.25,21.25,16
0.001358,88.625,16,29.875,4.875,41.5,12.375,29.125,34,25.125,21.125,16
0.001551,89,16,30,5,42,12,29,34,25,21,16
0.001824,90.375,16.375,30.125,4.5,41.5,12.125,28.875,34,25,21.25,15.875
0.002096,91.75,16.75,30.25,4,41,12.25,28.75,34,25,21.5,15.75
0.002369,93.125,17.125,30.375,3.5,40.5,12.375,28.625,34,25,21.75,15.625
0.002642,94.5,17.5,30.5,3,40,12.5,28.5,34,25,22,15.5
0.002915,95.875,17.875,30.625,2.5,39.5,12.625,28.375,34,25,22.25,15.375
0.003188,97.25,18.25,30.75,2,39,12.75,28.25,34,25,22.5,15.25
0.003461,98.625,18.625,30.875,1.5,38.5,12.875,28.125,34,25,22.75,15.125
0.003733,100,19,31,1,38,13,28,34,25,23,15
0.004096,102,18.875,30.5,1.25,38.125,13.25,28.25,33.75,25.25,23.125,15.25
0.004459,104,18.75,30,1.5,38.25,13.5,28.5,33.5,25.5,23.25,15.5
0.004822,106,18.625,29.5,1.75,38.375,13.75,28.75,33.25,25.75,23.375,15.75
0.005185,108,18.5,29,2,38.5,14,29,33,26,23.5,16
0.005548,110,18.375,28.5,2.25,38.625,14.25,29.25,32.75,26.25,23.625,16.25
0.005911,112,18.25,28,2.5,38.75,14.5,29.5,32.5,26.5,23.75,16.5
0.006274,114,18.125,27.5,2.75,38.875,14.75,29.75,32.25,26.75,23.875,16.75
0.006637,116,18,27,3,39,15,30,32,27,24,17
0.007097,119.125,17.875,27.125,2.875,39.625,14.75,30.25,32,26.625,23.75,17
0.007556,122.25,17.75,27.25,2.75,40.25,14.5,30.5,32,26.25,23.5,17
0.008016,125.375,17.625,27.375,2.625,40.875,14.25,30.75,32,25.875,23.25,17
0.008476,128.5,17.5,27.5,2.5,41.5,14,31,32,25.5,23,17
0.008936,131.625,17.375,27.625,2.375,42.125,13.75,31.25,32,25.125,22.75,17
0.009396,134.75,17.25,27.75,2.25,42.75,13.5,31.5,32,24.75,22.5,17
0.009856,137.875,17.125,27.875,2.125,43.375,13.25,31.75,32,24.375,22.25,17
0.010316,141,17,28,2,44,13,32,32,24,22,17
0.01087,145.25,17.25,27.875,2.125,43.875,13.375,31.625,31.875,24.375,22,16.75
0.011425,149.5,17.5,27.75,2.25,43.75,13.75,31.25,31.75,24.75,22,16.5
0.01198,153.75,17.75,27.625,2.375,43.625,14.125,30.875,31.625,25.125,22,16.25
0.012534,158,18,27.5,2.5,43.5,14.5,30.5,31.5,25.5,22,16
0.013088,162.25,18.25,27.375,2.625,43.375,14.875,30.125,31.375,25.875,22,15.75
0.013643,166.5,18.5,27.25,2.75,43.25,15.25,29.75,31.25,26.25,22,15.5
0.014198,170.75,18.75,27.125,2.875,43.125,15.625,29.375,31.125,26.625,22,15.25
0.014752,175,19,27,3,43,16,29,31,27,22,15
0.01532,182.25,19,27.125,2.875,42.75,15.875,28.875,31,26.75,21.625,15
0.015888,189.5,19,27.25,2.75,42.5,15.75,28.75,31,26.5,21.25,15
0.016456,196.75,19,27.375,2.625,42.25,15.625,28.625,31,26.25,20.875,15
0.017025,204,19,27.5,2.5,42,15.5,28.5,31,26,20.5,15
0.017593,211.25,19,27.625,2.375,41.75,15.375,28.375,31,25.75,20.125,15
0.018161,218.5,19,27.75,2.25,41.5,15.25,28.25,31,25.5,19.75,15
