position,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11
0,127,0,0,53,0,0,73,0,0,38,0,0,82,0,0,58,0,0,78,0,0,74,0,0,64,0,0,67,0,0,53,0,0
0.006835,150,0,0,55,0,0,73,0,0,38,0,0,81,0,0,59,0,0,80,0,0,74,0,0,64,0,0,67,0,0,56,0,0
0.008134,158,0,0,57,0,0,73,0,0,36,0,0,80,0,0,58,0,0,80,0,0,74,0,0,62,0,0,68,0,0,54,0,0
0.010550,171,0,0,56,0,0,73,0,0,38,0,0,80,0,0,58,0,0,80,0,0,75,0,0,60,0,0,68,0,0,56,0,0
0.013760,192,0,0,55,0,0,72,0,0,37,0,0,81,0,0,58,0,0,77,0,0,75,0,0,64,0,0,64,0,0,54,0,0
0.020145,241,0,0,56,0,0,72,0,0,40,0,0,82,0,0,56,0,0,78,0,0,74,0,0,62,0,0,68,0,0,54,0,0
0.025411,322,0,0,56,0,0,72,0,0,37,0,0,83,0,0,59,0,0,77,0,0,76,0,0,60,0,0,67,0,0,52,0,0
0.030424,430,0,0,57,0,0,74,0,0,40,0,0,82,0,0,57,0,0,80,0,0,76,0,0,64,0,0,67,0,0,54,0,0
0.035546,610,0,0,59,0,0,72,0,0,38,0,0,82,0,0,58,0,0,78,0,0,75,0,0,61,0,0,67,0,0,53,0,0
0.040740,910,0,0,60,0,0,74,0,0,36,0,0,82,0,0,59,0,0,79,0,0,76,0,0,64,0,0,67,0,0,53,0,0
0.045898,1402,0,0,59,0,0,73,0,0,36,0,0,80,0,0,57,0,0,78,0,0,74,0,0,62,0,0,67,0,0,54,0,0
0.050984,2255,0,0,62,0,0,74,0,0,39,0,0,82,0,0,61,0,0,80,0,0,75,0,0,64,0,0,67,0,0,53,0,0
0.055997,3384,0,0,64,0,0,71,0,0,37,0,0,81,0,0,57,0,0,79,0,0,75,0,0,64,0,0,67,0,0,53,0,0
0.062057,3826,0,0,66,0,0,73,0,0,38,0,0,80,0,0,57,0,0,75,0,0,74,0,0,62,0,0,67,0,0,51,0,0
0.067575,1519,0,0,69,0,0,73,0,0,39,0,0,83,0,0,58,0,0,78,0,0,75,0,0,62,0,0,67,0,0,52,0,0
0.073166,-2558,0,0,76,0,0,74,0,0,38,0,0,83,0,0,57,0,0,77,0,0,75,0,0,62,0,0,67,0,0,54,0,0
0.078901,-4417,0,0,82,0,0,74,0,0,36,0,0,81,0,0,59,0,0,79,0,0,77,0,0,64,0,0,65,0,0,53,0,0
0.084672,-3455,0,0,91,0,0,74,0,0,37,0,0,82,0,0,56,0,0,79,0,0,76,0,0,64,0,0,68,0,0,52,0,0
0.090371,-2054,0,0,102,0,0,73,0,0,37,0,0,80,0,0,57,0,0,79,0,0,75,0,0,63,0,0,69,0,0,55,0,0
0.095926,-1129,0,0,119,0,0,76,0,0,39,0,0,84,0,0,59,0,0,77,0,0,76,0,0,62,0,0,66,0,0,53,0,0
0.101408,-616,0,0,145,0,0,76,0,0,36,0,0,82,0,0,57,0,0,80,0,0,76,0,0,61,0,0,67,0,0,54,0,0
0.107107,-327,0,0,181,0,0,74,0,0,37,0,0,83,0,0,58,0,0,79,0,0,75,0,0,64,0,0,67,0,0,54,0,0
0.112626,-173,0,0,239,0,0,76,0,0,38,0,0,81,0,0,58,0,0,78,0,0,75,0,0,62,0,0,68,0,0,54,0,0
0.117820,-86,0,0,321,0,0,75,0,0,38,0,0,82,0,0,60,0,0,80,0,0,74,0,0,64,0,0,67,0,0,54,0,0
0.123338,-31,0,0,467,0,0,78,0,0,39,0,0,83,0,0,56,0,0,79,0,0,76,0,0,62,0,0,66,0,0,52,0,0
0.128857,4,0,0,714,0,0,79,0,0,38,0,0,84,0,0,58,0,0,80,0,0,76,0,0,64,0,0,67,0,0,52,0,0
0.134375,25,0,0,1149,0,0,80,0,0,36,0,0,83,0,0,60,0,0,79,0,0,76,0,0,64,0,0,65,0,0,52,0,0
0.139894,39,0,0,1903,0,0,83,0,0,39,0,0,83,0,0,59,0,0,78,0,0,76,0,0,63,0,0,67,0,0,53,0,0
